201459,2014-07-05T17:00,Netherlands,Costa Rica,0,0,Quarter,Arena Fonte Nova,Salvador
201460,2014-07-05T13:00,Argentina,Belgium,1,0,Quarter,Estadio Nacional,Brasilia
201451,2014-06-29T13:00,Netherlands,Mexico,2,1,Knock,Estadio Castelao,Fortaleza
201452,2014-06-29T17:00,Costa Rica,Greece,1,1,Knock,Arena Pernambuco,Recife
201455,2014-07-01T13:00,Argentina,Switzerland,1,0,Knock,Arena de Sao Paulo,Sao Paulo
201456,2014-07-01T17:00,Belgium,USA,2,1,Knock,Arena Fonte Nova,Salvador
201449,2014-06-28T13:00,Brazil,Chile,1,1,Knock,Estadio Mineirao,Belo Horizonte
201450,2014-06-28T17:00,Colombia,Uruguay,2,0,Knock,Estadio do Maracana,Rio De Janeiro
201451,2014-06-29T13:00,Netherlands,Mexico,2,1,Knock,Estadio Castelao,Fortaleza
201452,2014-06-29T17:00,Costa Rica,Greece,1,1,Knock,Arena Pernambuco,Recife
201453,2014-06-30T13:00,France,Nigeria,2,0,Knock,Estadio Nacional,Brasilia
201454,2014-06-30T17:00,Germany,Algeria,2,1,Knock,Estadio Beira-Rio,Porto Alegre
201455,2014-07-01T13:00,Argentina,Switzerland,1,0,Knock,Arena de Sao Paulo,Sao Paulo
201456,2014-07-01T17:00,Belgium,USA,2,1,Knock,Arena Fonte Nova,Salvador
201458,2014-07-04T13:00,France,Germany,0,1,Quarter,Estadio do Maracana,Rio De Janeiro
201457,2014-07-04T17:00,Brazil,Colombia,2,1,Quarter,Estadio Castelao,Fortaleza
201460,2014-07-05T13:00,Argentina,Belgium,1,0,Quarter,Estadio Nacional,Brasilia
201459,2014-07-05T17:00,Netherlands,Costa Rica,0,0,Quarter,Arena Fonte Nova,Salvador
201461,2014-07-08T17:00,Brazil,Germany,1,7,Semi,Estadio Mineirao,Belo Horizonte
201462,2014-07-09T17:00,Netherlands,Argentina,0,0,Semi,Arena de Sao Paulo,Sao Paulo
201463,2014-07-12T17:00,Brazil,Netherlands,0,3,Third,Estadio Nacional,Brasilia
201464,2014-07-13T16:00,Germany,Argentina,1,0,Final,Estadio do Maracana,Rio De Janeiro
201001,2010-06-11T16:00,South Africa,Mexico,1,1,A,Soccer City Stadium,Johannesburg
201002,2010-06-11T20:30,Uruguay,France,0,0,A,Cape Town Stadium,Cape Town
201004,2010-06-12T13:30,Korea Republic,Greece,2,0,B,Port Elizabeth Stadium,Nelson Mandela Bay/Port Elizabeth
